#name z L_151 Kmeas ap ref Kapcorr Kemcorr
4C12.03 0.1560 25.81 13.41 12.0 L 13.13 13.13
3C13 1.3510 28.04 17.52 5.0 B 17.36 17.41
3C16 0.4050 26.81 15.91 12.3 L 15.92 15.92
3C19 0.4820 26.95 15.36 7.5 V 15.21 15.21
3C20 0.1740 26.51 14.30 12.0 L 14.06 14.06
3C28 0.1952 26.26 13.77 12.0 L 13.57 13.57
3C33 0.0595 25.63 11.70 60.0 S 11.72 11.72
3C34 0.6900 27.41 16.43 5.0 B 16.20 16.20
3C35 0.0670 25.05 12.45 12.3 L 11.77 11.77
3C42 0.3950 26.76 14.90 60.0 S 15.14 15.14
3C46 0.4373 26.84 15.00 7.5 V 14.83 14.83
3C49 0.6210 27.07 16.15 9.0 B 16.13 16.13
3C55 0.7350 27.66 16.42 12.0 L 16.53 16.54
3C68.2 1.5750 28.23 17.49 9.0 B 17.55 17.56
3C79 0.2559 26.76 14.20 60.0 S 14.42 14.42
3C123 0.2177 27.37 14.15 10.8 L 13.94 13.96
3C132 0.2140 26.24 13.90 60.0 H 14.11 14.11
3C153 0.2769 26.50 14.00 60.0 S 14.22 14.22
3C171 0.2384 26.48 14.50 60.0 S 14.71 14.72
3C172 0.5191 27.16 15.62 12.0 L 15.67 15.67
3C175.1 0.9200 27.57 17.56 5.0 L 17.37 17.41
3C192 0.0598 25.23 12.10 60.0 S 12.12 12.12
3C200 0.4580 26.91 15.75 7.5 V 15.59 15.59
4C14.27 0.3920 26.78 15.66 12.0 L 15.65 15.65
3C217 0.8975 27.59 17.52 9.0 B 17.55 17.61
3C223 0.1368 25.84 13.60 60.0 S 13.77 13.77
3C228 0.5520 27.36 16.19 12.0 L 16.25 16.25
3C236 0.0989 25.53 12.69 12.3 L 12.22 12.22
3C239 1.7900 28.42 17.83 5.0 B 17.67 17.67
3C241 1.6170 28.11 17.45 9.0 B 17.51 17.52
3C247 0.7500 27.31 15.96 9.0 B 15.97 15.97
3C252 1.1050 27.91 17.32 9.0 B 17.37 17.48
3C263.1 0.8240 27.69 16.60 8.0 L 16.58 16.61
3C266 1.2750 27.95 17.65 9.0 B 17.71 17.77
3C267 1.1420 27.96 17.21 9.0 B 17.26 17.37
A1552 0.0837 25.30 12.04 12.0 L 11.47 11.47
3C274.1 0.4220 27.02 15.39 10.8 L 15.36 15.36
3C277.2 0.7660 27.46 16.96 9.0 B 16.97 16.97
3C280 0.9960 28.00 16.70 9.0 B 16.74 16.80
3C284 0.2394 26.28 14.17 10.8 L 13.99 13.99
3C285 0.0794 25.22 13.11 10.8 L 12.44 12.44
3C288 0.2460 26.51 13.59 10.8 L 13.42 13.42
3C289 0.9674 27.65 16.66 9.0 B 16.70 16.72
3C294 1.7860 28.38 18.30 3.0 A 17.94 17.94
3C295 0.4614 27.67 14.49 7.4 L 14.32 14.33
3C299 0.3670 26.65 15.91 10.8 L 15.85 15.85
3C300 0.2700 26.59 15.20 12.0 L 15.10 15.11
3C310 0.0540 25.59 12.49 12.0 L 11.66 11.66
3C315 0.1083 25.72 13.36 12.0 L 12.92 12.92
3C319 0.1920 26.19 15.11 12.0 L 14.91 14.91
3C321 0.0960 25.48 12.72 12.0 L 12.22 12.22
3C326 0.0895 25.59 13.60 12.0 L 13.07 13.07
3C337 0.6300 27.27 16.57 9.0 B 16.55 16.55
3C340 0.7540 27.37 16.91 9.0 B 16.92 16.92
3C341 0.4480 26.88 15.31 12.0 L 15.33 15.33
3C346 0.1610 25.87 13.37 12.0 L 13.10 13.10
3C349 0.2050 26.17 14.70 10.8 L 14.47 14.47
3C352 0.8057 27.50 16.92 5.0 B 16.71 16.72
4C13.66 1.4500 28.09 18.20 8.0 R 18.22 18.31
3C368 1.1320 28.02 17.03 9.0 B 17.08 17.19
3C388 0.0908 25.67 12.55 10.8 L 11.96 11.96
3C433 0.1016 26.14 12.37 12.0 L 11.90 11.90
3C436 0.2145 26.36 14.00 12.3 L 13.84 13.84
3C437 1.4800 28.10 17.74 9.0 B 17.80 17.87
3C438 0.2900 27.05 13.98 12.0 L 13.90 13.90
3C441 0.7070 27.35 16.42 5.0 B 16.20 16.20
3C452 0.0811 25.93 12.91 7.8 L 12.03 12.03
3C457 0.4270 26.99 15.71 12.0 L 15.72 15.72
3C470 1.6530 28.15 18.02 5.0 B 17.86 17.87
