#name z L_151 Kmeas ap Kapcorr Kemcorr
6CE0820+36 1.860 27.54 18.41 5.0 18.25 18.25
6CE0822+34A 0.406 26.08 15.26 12.0 15.26 15.26
6CE0822+34B 0.768 26.82 17.71 5.0 17.50 17.50
6CE0823+37 0.207 25.49 13.74 12.0 13.56 13.56
6CE0825+34 1.467 27.15 19.19 5.0 19.03 19.05
6CE0847+37 0.407 26.14 15.05 12.0 15.05 15.05
6CE0854+39 0.528 26.33 15.39 12.0 15.44 15.44
6CE0857+39 0.229 25.50 15.03 12.0 14.88 14.88
6CE0901+35 1.904 27.45 18.29 5.0 18.13 18.13
6CE0902+34 3.395 28.11 19.70 5.0 19.49 19.86
6CE0905+39 1.882 27.70 18.48 5.0 18.32 18.32
6CE0908+37 0.105 24.69 12.70 12.0 12.25 12.25
6CE0919+38 1.650 27.53 18.20 5.0 18.04 18.04
6CE0922+36B 0.112 24.90 12.60 12.0 12.18 12.18
6CE0930+38 2.395 27.80 19.30 4.0 19.04 19.46
6CE0943+39 1.037 26.95 18.09 5.0 17.91 17.92
6CE1011+36 1.043 26.89 18.05 5.0 17.87 17.88
6CE1016+36 1.892 27.38 20.30 4.0 20.05 20.05
6CE1017+37 1.053 26.95 18.88 5.0 18.70 18.73
6CE1018+37 0.806 26.78 16.49 12.0 16.62 16.62
6CE1019+39B 0.921 26.89 16.64 12.0 16.78 16.79
6CE1025+39 0.361 25.95 14.48 12.0 14.46 14.46
6CE1031+34 1.832 27.33 19.30 4.0 19.05 19.05
6CE1042+39 1.770 27.42 19.70 4.0 19.45 19.45
6CE1043+37 0.789 26.72 17.38 12.0 17.50 17.50
6CE1045+34 1.827 27.32 18.91 5.0 18.75 18.75
6CE1045+35A 0.851 26.62 16.33 5.0 16.13 16.13
6CE1100+35 1.440 27.17 18.33 5.0 18.17 18.18
6CE1108+39 0.590 26.32 16.27 12.0 16.34 16.34
6CE1113+34 2.406 27.58 18.29 7.8 18.28 18.39
6CE1123+34 1.247 26.81 17.92 5.0 17.75 17.76
6CE1129+37 1.060 26.87 17.52 5.0 17.34 17.35
6CE1130+34 0.512 26.33 15.76 12.0 15.81 15.81
6CE1134+36 2.125 27.55 19.40 5.0 19.23 19.60
6CE1141+35 1.781 27.51 18.72 5.0 18.56 18.56
6CE1143+37 2.00 27.19 19.83 4.0 19.58 19.80
6CE1148+36 0.141 25.11 14.63 12.0 14.31 14.31
6CE1159+36 1.40 27.12 17.42 5.0 17.26 17.26
6CE1204+35 1.779 27.61 17.97 5.0 17.81 17.81
6CE1204+37 1.376 27.27 19.29 5.0 19.13 19.17
6CE1212+38 0.947 26.70 17.74 5.0 17.55 17.56
6CE1217+36 1.089 26.99 17.27 5.0 17.09 17.10
6CE1230+34 1.533 27.23 18.40 5.0 18.24 18.25
6CE1232+39 3.221 28.25 17.80 11.2 17.90 18.02
6CE1256+36 1.127 27.05 17.75 5.0 17.58 17.59
6CE1257+36 1.003 26.93 17.51 5.0 17.33 17.34
6CE1301+38 0.470 26.29 14.66 12.0 14.69 14.69
