#name z L_151 Kmeas ap Kapcorr Kemcorr
7C1733+671 1.84 27.46 18.30 5.0 18.14 18.14
7C1740+664 2.10 26.80 18.90 3.0 18.54 18.57
7C1742+634 1.27 26.66 18.30 3.0 17.94 17.94
7C1745+662 3.01 27.18 20.80 2.0 20.25 20.35
7C1748+670 3.20 28.11 18.30 8.0 18.27 18.40
7C1751+680 1.54 26.90 18.60 3.0 18.24 18.25
7C1753+631 1.96 27.36 18.60 3.0 18.24 18.26
7C1756+652 1.48 26.81 19.20 3.0 18.84 18.85
7C1758+671 2.70 27.39 19.30 8.0 19.29 19.40
7C1802+645 2.11 27.74 19.30 8.0 19.31 19.96
7C1804+631 1.50 26.84 19.10 3.0 18.74 18.75
7C1805+633 1.84 27.36 19.00 5.0 18.84 18.84
7C1807+671 2.78 27.14 20.20 5.0 20.01 20.02
7C1814+670 4.05 28.43 19.40 5.0 19.16 19.20
7C1820+665 2.98 26.67 20.70 3.0 20.31 20.34
7C1825+660 2.38 27.45 19.00 5.0 18.82 18.96
